price,address,description,bedrooms,property_type,borough
415000,"Matilda House, St. Katharines Way, E1W","Matilda House, St. Katharines Way, E1WFlat11",,flat,
80000000,"The Knightsbridge Apartments, 199 Knightsbridge, London, SW7","The Knightsbridge Apartments, 199 Knightsbridge, London, SW7Penthouse55",,flat,
60000000,"One Hyde Park, Knightsbridge","One Hyde Park, KnightsbridgeApartment55",,flat,
59950000,"Avenue Road, St John's Wood, London, NW8, United Kingdom","Avenue Road, St John's Wood, London, NW8, United KingdomHouse108",,house,
49500000,"Balfour Place, Mayfair, London, W1K","Balfour Place, Mayfair, London, W1KEnd of Terrace78",,,
47000000,"Whistler Square, London, SW1W","Whistler Square, London, SW1WTown House78",,house,
47000000,"Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom","Whistler Square, Chelsea Barracks, London, SW1W, United KingdomHouse66",,house,
47000000,"One Hyde Park, Knightsbridge","One Hyde Park, KnightsbridgeApartment55",,flat,
44000000,"Wilton Crescent, Belgravia, London, SW1X, United Kingdom","Wilton Crescent, Belgravia, London, SW1X, United KingdomHouse77",,house,
40000000,"Glebe Place, London, SW3","Glebe Place, London, SW3Apartment55",,flat,
32500000,"One Hyde Park, Knightsbridge, London, SW1X, United Kingdom","One Hyde Park, Knightsbridge, London, SW1X, United KingdomFlat44",,flat,
32000000,"Merton Lane, London, N6","Merton Lane, London, N6Detached109",,,Merton
32000000,"Merton Lane, Highgate, London, N6","Merton Lane, Highgate, London, N6House5",,house,Merton
30000000,"FREEHOLD House in Park Street, Mayfair, W1K","FREEHOLD House in Park Street, Mayfair, W1KTerraced1111",,house,
30000000,United Kingdom,United KingdomApartment43,,flat,
30000000,"Tregunter Road, Chelsea, London, SW10, United Kingdom","Tregunter Road, Chelsea, London, SW10, United KingdomHouse77",,house,
30000000,"Avenue Road, NW8","Avenue Road, NW8Detached83",,,
30000000,"Tregunter Road, London","Tregunter Road, LondonSemi-Detached77",,,
29975000,"Cadogan Place, Knightsbridge, London, SW1X","Cadogan Place, Knightsbridge, London, SW1XTerraced67",,,
29950000,"Piccadilly, Mayfair, London, W1J","Piccadilly, Mayfair, London, W1JPlot",,,
29950000,"Piccadilly, Mayfair","Piccadilly, MayfairHouse66",,house,
29500000,"Brick Street, Mayfair, London, England, W1J, United Kingdom","Brick Street, Mayfair, London, England, W1J, United KingdomHouse77",,house,
29500000,"Brick Street, Mayfair, London, W1J","Brick Street, Mayfair, London, W1JHouse77",,house,
29500000,"Brick Street, Mayfair, London, W1J","Brick Street, Mayfair, London, W1JTerraced75",,,
29500000,"Chester Square, London, SW1W","Chester Square, London, SW1WTerraced65",,,
350000,"Churchfield Avenue, North Finchley, N12","Churchfield Avenue, North Finchley, N12Apartment11",,flat,
29500000,"Chester Square, London, SW1W","Chester Square, London, SW1WTown House65",,house,
29000000,"Princes Gate, South Kensington, SW7","Princes Gate, South Kensington, SW7Town House76",,house,Kensington
29000000,"Princes Gate, Kensington, London, SW7","Princes Gate, Kensington, London, SW7End of Terrace77",,,Kensington
27000000,"Knights House, Cheval Place, Knightsbridge, SW7, United Kingdom","Knights House, Cheval Place, Knightsbridge, SW7, United KingdomBlock of Apartments89",,flat,
26500000,"Knightsbridge, Knightsbridge Gate, London, SW1X, United Kingdom","Knightsbridge, Knightsbridge Gate, London, SW1X, United KingdomFlat64",,flat,
26500000,"Knightsbridge Gate, 1 William Street, Knightsbridge, London, SW1X 7BF","Knightsbridge Gate, 1 William Street, Knightsbridge, London, SW1X 7BFPenthouse68",,flat,
26500000,"Knightsbridge Gate, Apartment 6, 55 Knightsbridge, SW1X","Knightsbridge Gate, Apartment 6, 55 Knightsbridge, SW1XPenthouse66",,flat,
26425000,"Park Crescent, London, W1B","Park Crescent, London, W1BDuplex56",,,
25000000,"One Hyde Park, Knightsbridge","One Hyde Park, KnightsbridgeApartment44",,flat,
25000000,"Lowndes Square, London, SW1X","Lowndes Square, London, SW1XTerraced109",,,
25000000,"Park Place Villas, Little Venice","Park Place Villas, Little VeniceHouse85",,house,
25000000,"Park Place Villas, London, W2","Park Place Villas, London, W2Detached86",,,
25000000,"Chester Square, Belgravia, SW1W","Chester Square, Belgravia, SW1WTerraced67",,,
25000000,"Park Place Villas, Little Venice, London, W9","Park Place Villas, Little Venice, London, W9Detached85",,,
25000000,"Prime Belgravia, London, SW1X","Prime Belgravia, London, SW1XApartment44",,flat,
25000000,"Lowndes Square, London, SW1X","Lowndes Square, London, SW1XTown House1010",,house,
25000000,"Cornwall Terrace, Regent's Park","Cornwall Terrace, Regent's ParkTerraced66",,,
25000000,"Chester Square, Belgravia, London, SW1W, United Kingdom","Chester Square, Belgravia, London, SW1W, United KingdomTown House67",,house,
25000000,"Chapel Street, Belgravia, London, SW1X, United Kingdom","Chapel Street, Belgravia, London, SW1X, United KingdomHouse65",,house,
25000000,"Park Place Villas, Little Venice, London, W2, United Kingdom","Park Place Villas, Little Venice, London, W2, United KingdomHouse87",,house,
25000000,"Marlborough Place, St John's Wood, London, NW8, United Kingdom","Marlborough Place, St John's Wood, London, NW8, United KingdomHouse55",,house,
25000000,"Chester Square, London","Chester Square, LondonHouse67",,house,
24950000,"St. John's Wood, London, NW8","St. John's Wood, London, NW8Detached810",,,
24950000,"Winnington Road, London, N2","Winnington Road, London, N2Detached69",,,
385000,"Teal Close, Beckton, London, E16","Teal Close, Beckton, London, E16Terraced21",,,
24950000,"Winnington Road, Hampstead, London, N2, United Kingdom","Winnington Road, Hampstead, London, N2, United KingdomHouse88",,house,
24950000,"Winnington Road, N2","Winnington Road, N2Detached66",,,
24500000,"Queen's Gate, South Kensington SW7","Queen's Gate, South Kensington SW7Terraced1211",,,Kensington
